Title,Year,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
She Done Him Wrong,1933,2,Passed,66,USA,Lowell Sherman,Comedy,English,MCA Universal Home Video,,6.5
State Fair,1933,2,Passed,99,USA,Henry King,Comedy,English,20th Century Fox Film Corporation,,6.9
A Tale of Two Cities,1935,12,Passed,128,USA,"Jack Conway, Robert Z. Leonard",Drama,English,Warner Home Video,,7.8
In Old Chicago,1938,4,APPROVED,95,USA,Henry King,Action,English,20th Century Fox Film Corporation,,6.9
La Grande Illusion,1937,9,Not Rated,113,France,Jean Renoir,Drama,French,Rialto Pictures,,8.1
49th Parallel,1941,4,Not Rated,104,UK,Michael Powell,Drama,English,,,7.3
Casablanca,1942,1,PG,102,USA,Michael Curtiz,Drama,English,Warner Bros. Pictures,100.0,8.5
In Which We Serve,1942,12,Not Rated,115,UK,"Noël Coward, David Lean",Drama,English,MCA Universal Home Video,,7.3
The Ox-Bow Incident,1942,5,Not Rated,75,USA,William A. Wellman,Drama,English,20th Century Fox Film Corporat,,8.0
Henry V,1944,10,Not Rated,137,UK,Laurence Olivier,Biography,English,Paramount Home Video,,7.1
Great Expectations,1946,5,Not Rated,118,UK,David Lean,Adventure,English,Universal Pictures,,7.8
12 Angry Men,1957,4,Not Rated,96,USA,Sidney Lumet,Drama,English,Criterion Collection,96.0,8.9
The Music Man,1962,6,G,151,USA,Morton DaCosta,Comedy,English,Warner Bros. Pictures,,7.7
How the West Was Won,1962,2,G,164,USA,"John Ford, Henry Hathaway, George Marshall, Richard Thorpe",Western,English,Warner Home Video,56.0,7.1
The Russians Are Coming! The Russians Are Coming!,1966,5,Unrated,126,USA,Norman Jewison,Comedy,English,MGM,,7.1
MASH,1970,3,R,116,USA,Robert Altman,Comedy,English,20th Century Fox,80.0,7.5
The Emigrants,1971,3,PG,151,Sweden,Jan Troell,Drama,Swedish,Swedish Film Production,,8.0
Cries & Whispers,1972,3,R,91,Sweden,Ingmar Bergman,Drama,Swedish,Criterion Collection,,8.1
Tess,1979,12,PG,170,UK,Roman Polanski,Drama,English,Criterion Collection,82.0,7.3
Witness,1985,2,R,112,USA,Peter Weir,Crime,English,Paramount Pictures,76.0,7.4
A Room with a View,1985,4,Not Rated,117,UK,James Ivory,Drama,English,Cinecom Pictures,80.0,7.3
Goodfellas,1990,9,R,146,USA,Martin Scorsese,Biography,English,Warner Bros.,90.0,8.7
The Postman,1997,12,R,177,USA,Kevin Costner,Action,English,Warner Home Video,29.0,6.1
Life Is Beautiful,1997,2,PG-13,116,Italy,Roberto Benigni,Comedy,Italian,Miramax,59.0,8.6
The Hurt Locker,2008,7,R,131,USA,Kathryn Bigelow,Drama,English,Summit Entertainment,95.0,7.6
Precious,2009,11,R,110,USA,Lee Daniels,Drama,English,Lionsgate Films,79.0,7.3
7th Heaven,1927,10,Not Rated,110,USA,Frank Borzage,Drama,English,Fox,,7.8
Wings,1927,1,PG-13,144,USA,"William A. Wellman, Harry d'Abbadie d'Arrast",Drama,English,Unknown,,7.5
In Old Arizona,1928,1,PASSED,95,USA,Irving Cummings,Romance,English,20th Century Fox Film Corporation,,5.7
Disraeli,1929,11,PASSED,90,USA,Alfred E. Green,Biography,English,A & E,,6.4
The Love Parade,1929,1,APPROVED,107,USA,Ernst Lubitsch,Comedy,English,Paramount Pictures,,7.2
Arrowsmith,1931,12,PASSED,108,USA,John Ford,Drama,English,United Artists,,6.2
Bad Girl,1931,9,Passed,90,USA,Frank Borzage,Drama,English,,,6.6
The Champ,1931,11,Passed,86,USA,King Vidor,Drama,English,MGM,,7.3
Five Star Final,1931,9,NOT RATED,89,USA,Mervyn LeRoy,Crime,English,Vitaphone Corporation,,7.3
The Smiling Lieutenant,1931,8,Passed,93,USA,Ernst Lubitsch,Comedy,English,Paramount Pictures,,7.7
A Farewell to Arms,1932,12,Unrated,80,USA,Frank Borzage,Drama,English,Gravitas,,6.5
I Am a Fugitive from a Chain Gang,1932,11,Passed,92,USA,Mervyn LeRoy,Crime,English,Vitaphone Corporation,,8.2
Smilin' Through,1932,9,Approved,98,USA,Sidney Franklin,Drama,English,MGM,,6.9
The Barretts of Wimpole Street,1934,9,PASSED,109,USA,Sidney Franklin,Biography,English,MGM,,7.0
Cleopatra,1934,10,Passed,100,USA,Cecil B. DeMille,Biography,English,Paramount Pictures,,6.8
Flirtation Walk,1934,12,NOT RATED,97,USA,Frank Borzage,Musical,English,Warner Brothers,,5.8
The Gay Divorcee,1934,10,Approved,107,USA,Mark Sandrich,Comedy,English,RKO Radio Pictures,,7.5
Here Comes the Navy,1934,7,APPROVED,87,USA,Lloyd Bacon,Comedy,English,Warner Bros.,,6.4
The House of Rothschild,1934,4,PASSED,88,USA,"Alfred L. Werker, Sidney Lanfield",Biography,English,20th Century Fox Film Corporation,,6.8
Imitation of Life,1934,11,Approved,111,USA,John M. Stahl,Drama,English,Universal Studios,,7.5
It Happened One Night,1934,2,Not Rated,105,USA,Frank Capra,Comedy,English,Sony Pictures Home Entertainment,87.0,8.1
One Night of Love,1934,9,PASSED,84,USA,Victor Schertzinger,Music,English,Sony Pictures Home Entertainment,,5.9
The Thin Man,1934,5,Not Rated,91,USA,W.S. Van Dyke,Comedy,English,MGM,,8.0
Viva Villa!,1934,4,,115,USA,"Jack Conway, Howard Hawks, William A. Wellman",Biography,English,MGM,,6.5
The White Parade,1934,11,APPROVED,80,USA,Irving Cummings,Drama,English,,,7.0
Alice Adams,1935,11,Passed,99,USA,George Stevens,Comedy,English,Turner Home Entertainment,,7.0
Broadway Melody of 1936,1935,9,Passed,101,USA,"Roy Del Ruth, W.S. Van Dyke",Musical,English,MGM,,6.8
Captain Blood,1935,12,Passed,119,USA,Michael Curtiz,Action,English,Twentieth Century Fox Home Entertainment,,7.7
David Copperfield,1935,6,Passed,130,USA,George Cukor,Adventure,English,WARNER BROTHERS PICTURES,,7.5
The Informer,1935,5,Approved,91,USA,John Ford,Crime,English,Media Home Entertainment,,7.5
Les Misérables,1935,4,Approved,108,USA,Richard Boleslawski,Drama,English,20th Century Fox Film Corporation,,7.6
The Lives of a Bengal Lancer,1935,2,Passed,109,USA,Henry Hathaway,Adventure,English,Paramount Pictures,,7.2
A Midsummer Night's Dream,1935,10,Approved,133,USA,"William Dieterle, Max Reinhardt",Comedy,English,Warner Bros.,,6.9
Mutiny on the Bounty,1935,11,Not Rated,132,USA,Frank Lloyd,Adventure,English,MGM,87.0,7.7
Naughty Marietta,1935,3,G,105,USA,"Robert Z. Leonard, W.S. Van Dyke",Drama,English,MGM Home Entertainment,,6.7
Ruggles of Red Gap,1935,3,NOT RATED,90,USA,Leo McCarey,Comedy,English,MCA Universal Home Video,,7.7
Top Hat,1935,9,Not Rated,101,USA,Mark Sandrich,Comedy,English,Turner Home Entertainment,,7.8
Anthony Adverse,1936,8,NOT RATED,141,USA,"Mervyn LeRoy, Michael Curtiz",Adventure,English,Warner Bros.,,6.5
Dodsworth,1936,9,Passed,101,USA,William Wyler,Drama,English,Samuel Goldwyn Films,,7.8
The Great Ziegfeld,1936,4,Not Rated,176,USA,Robert Z. Leonard,Biography,English,MGM Home Entertainment,,6.8
Libeled Lady,1936,10,Not Rated,98,USA,Jack Conway,Comedy,English,Warner Home Video,,7.8
Mr. Deeds Goes to Town,1936,4,Not Rated,115,USA,Frank Capra,Comedy,English,Columbia Pictures,,8.0
Romeo and Juliet,1936,9,Passed,125,USA,George Cukor,Drama,English,MGM,,6.7
San Francisco,1936,6,Unrated,115,USA,W.S. Van Dyke,Drama,English,MGM,,7.2
The Story of Louis Pasteur,1936,2,UNRATED,86,USA,William Dieterle,Biography,English,MGM Home Entertainment,,7.4
Three Smart Girls,1936,12,APPROVED,84,USA,Henry Koster,Comedy,English,Universal Pictures,,6.8
The Awful Truth,1937,10,Not Rated,90,USA,Leo McCarey,Comedy,English,Columbia,,7.7
Captains Courageous,1937,6,Passed,117,USA,Victor Fleming,Adventure,English,MGM Home Entertainment,,8.0
Dead End,1937,8,Approved,93,USA,William Wyler,Crime,English,MGM,,7.4
The Good Earth,1937,8,PASSED,138,USA,"Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood",Drama,English,WARNER BROTHERS PICTURES,,7.7
The Life of Emile Zola,1937,10,Not Rated,116,USA,William Dieterle,Biography,English,MGM Home Entertainment,,7.2
Lost Horizon,1937,9,Approved,132,USA,Frank Capra,Adventure,English,Sony Pictures Home Entertainment,,7.7
One Hundred Men and a Girl,1937,9,APPROVED,84,USA,Henry Koster,Comedy,English,Universal,,6.9
Stage Door,1937,10,Approved,92,USA,Gregory La Cava,Comedy,English,Warner Home Video,,7.7
A Star Is Born,1937,4,Passed,111,USA,"William A. Wellman, Jack Conway",Drama,English,Image Entertainment Inc.,77.0,7.6
The Adventures of Robin Hood,1938,5,PG,102,USA,"Michael Curtiz, William Keighley",Action,English,Warner Bros.,97.0,7.9
Alexander's Ragtime Band,1938,8,APPROVED,106,USA,Henry King,Drama,English,20th Century Fox Film Corporation,,7.0
Boys Town,1938,9,Passed,96,USA,Norman Taurog,Biography,English,MGM Home Entertainment,,7.3
The Citadel,1938,10,PASSED,110,UK,King Vidor,Drama,English,MGM Home Entertainment,,7.2
Four Daughters,1938,8,Approved,90,USA,Michael Curtiz,Drama,English,Warner Brothers,,7.0
Jezebel,1938,3,Approved,104,USA,William Wyler,Drama,English,MGM Home Entertainment,,7.5
Pygmalion,1938,3,Not Rated,89,UK,"Anthony Asquith, Leslie Howard",Comedy,English,Criterion Collection,,7.8
Test Pilot,1938,4,Passed,119,USA,Victor Fleming,Drama,English,MGM,,6.9
You Can't Take It with You,1938,9,Passed,126,USA,Frank Capra,Comedy,English,Columbia Pictures,,7.9
Dark Victory,1939,4,Approved,104,USA,Edmund Goulding,Drama,English,Twentieth Century Fox Home Entertainment,,7.6
Gone with the Wind,1939,1,Passed,238,USA,"Victor Fleming, George Cukor, Sam Wood",Drama,English,Loew&#39;s Inc.,97.0,8.1
"Goodbye, Mr. Chips",1939,7,Unrated,114,UK,"Sam Wood, Sidney Franklin",Drama,English,MGM Home Entertainment,,7.9
Love Affair,1939,4,Approved,88,USA,Leo McCarey,Comedy,English,Madacy Entertainment,,7.3
Mr. Smith Goes to Washington,1939,10,Not Rated,129,USA,Frank Capra,Comedy,English,ITVS,73.0,8.1
Ninotchka,1939,11,Not Rated,110,USA,Ernst Lubitsch,Comedy,English,Warner Bros. Pictures,,7.9
Of Mice and Men,1939,1,Approved,106,USA,Lewis Milestone,Drama,English,United Artists,,7.9
Stagecoach,1939,3,Passed,96,USA,John Ford,Adventure,English,Warner Home Video,93.0,7.9
The Wizard of Oz,1939,8,PG,102,USA,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor",Adventure,English,Warner Bros. Pictures,100.0,8.0
Wuthering Heights,1939,4,Not Rated,104,USA,William Wyler,Drama,English,United Artists,,7.6
"All This, and Heaven Too",1940,7,Approved,141,USA,Anatole Litvak,Drama,English,Warner Bros. Pictures,,7.6
Foreign Correspondent,1940,8,Passed,120,USA,Alfred Hitchcock,Action,English,Warner Home Video,,7.5
The Grapes of Wrath,1940,3,Passed,129,USA,John Ford,Drama,English,20th Century Fox Film Corporation,96.0,8.0
The Great Dictator,1940,3,Passed,125,USA,Charles Chaplin,Comedy,English,Criterion Collection,,8.5
Kitty Foyle,1940,12,Approved,108,USA,Sam Wood,Drama,English,Media Home Entertainment,,7.0
The Letter,1940,11,Not Rated,95,USA,William Wyler,Crime,English,MGM Home Entertainment,,7.6
The Long Voyage Home,1940,11,Approved,105,USA,John Ford,Drama,English,Criterion Collection,,7.0
Our Town,1940,5,NOT RATED,90,USA,Sam Wood,Drama,English,United Artists,,6.8
The Philadelphia Story,1940,1,Not Rated,112,USA,George Cukor,Comedy,English,MGM,96.0,7.9
Rebecca,1940,4,Not Rated,130,USA,Alfred Hitchcock,Drama,English,United Artists,,8.1
Blossoms in the Dust,1941,8,Approved,99,USA,Mervyn LeRoy,Biography,English,WARNER BROTHERS PICTURES,,6.9
Citizen Kane,1941,9,PG,119,USA,Orson Welles,Drama,English,RKO Radio Pictures,100.0,8.3
Here Comes Mr. Jordan,1941,8,Not Rated,94,USA,Alexander Hall,Comedy,English,Sony Pictures Entertainment,,7.6
Hold Back the Dawn,1941,9,Not Rated,116,USA,Mitchell Leisen,Drama,English,Paramount Pictures,,7.4
How Green Was My Valley,1941,4,Not Rated,118,USA,John Ford,Drama,English,Twentieth Century Fox Home Entertainment,,7.7
The Little Foxes,1941,8,Approved,116,USA,William Wyler,Drama,English,RKO,,8.2
The Maltese Falcon,1941,10,Not Rated,100,USA,John Huston,Film-Noir,English,Warner Bros.,96.0,8.0
One Foot in Heaven,1941,11,Approved,108,USA,Irving Rapper,Biography,English,Warner Bros.,,7.0
Sergeant York,1941,9,Not Rated,134,USA,Howard Hawks,Biography,English,Warner Bros. Pictures,,7.7
Suspicion,1941,11,Not Rated,99,USA,Alfred Hitchcock,Mystery,English,WARNER BROTHERS PICTURES,83.0,7.4
Kings Row,1942,4,Passed,127,USA,Sam Wood,Drama,English,Warner Home Video,,7.6
The Magnificent Ambersons,1942,7,Not Rated,88,USA,"Orson Welles, Fred Fleck, Robert Wise",Drama,English,RKO Radio Pictures,93.0,7.7
Mrs. Miniver,1942,12,Not Rated,134,USA,William Wyler,Drama,English,MGM Home Entertainment,,7.6
The Pied Piper,1942,8,,87,USA,Irving Pichel,Drama,English,20th Century Fox Film Corporation,,7.1
The Pride of the Yankees,1942,3,Approved,128,USA,Sam Wood,Biography,English,MGM,,7.7
Random Harvest,1942,8,Passed,126,USA,Mervyn LeRoy,Drama,English,MGM Home Entertainment,,8.0
The Talk of the Town,1942,8,Approved,118,USA,George Stevens,Comedy,English,Sony Pictures Entertainment,,7.5
Wake Island,1942,8,Approved,88,USA,John Farrow,Action,English,MCA Universal Home Video,,6.8
Yankee Doodle Dandy,1942,6,Passed,126,USA,Michael Curtiz,Biography,English,MGM Home Entertainment,,7.7
For Whom the Bell Tolls,1943,7,Passed,170,USA,Sam Wood,Adventure,English,MCA Universal Home Video,,6.9
Heaven Can Wait,1943,8,Not Rated,112,USA,Ernst Lubitsch,Comedy,English,20th Century Fox Film Corporation,,7.5
The Human Comedy,1943,2,Passed,117,USA,Clarence Brown,Comedy,English,Warner Home Video,,7.1
Madame Curie,1943,2,Not Rated,124,USA,"Mervyn LeRoy, Albert Lewin",Biography,English,Warner Bros. Pictures,,7.2
The More the Merrier,1943,5,Passed,104,USA,George Stevens,Comedy,English,Columbia Pictures,,7.8
The Song of Bernadette,1943,4,Approved,156,USA,Henry King,Biography,English,Twentieth Century Fox Home Entertainment,,7.6
Watch on the Rhine,1943,8,Approved,114,USA,"Herman Shumlin, Hal Mohr",Drama,English,Warner Home Video,,7.4
Double Indemnity,1944,7,Passed,107,USA,Billy Wilder,Crime,English,Paramount Pictures,95.0,8.3
Gaslight,1944,10,Not Rated,114,USA,George Cukor,Crime,English,MGM,,7.8
Going My Way,1944,10,Passed,126,USA,Leo McCarey,Comedy,English,Paramount Pictures,,7.1
Since You Went Away,1944,7,Approved,177,USA,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick",Drama,English,United Artists,,7.6
Wilson,1944,8,Passed,154,USA,Henry King,Biography,English,Twentieth Century Fox Film Cor,,6.8
Anchors Aweigh,1945,8,Passed,140,USA,George Sidney,Comedy,English,MGM Home Entertainment,,7.1
The Bells of St. Mary's,1945,2,Unrated,126,USA,Leo McCarey,Drama,English,RKO Radio Pictures,,7.3
The Lost Weekend,1945,1,Not Rated,101,USA,Billy Wilder,Drama,English,Paramount Pictures,,7.9
Mildred Pierce,1945,10,Passed,111,USA,Michael Curtiz,Crime,English,MGM Home Entertainment,,8.0
Spellbound,1945,12,Approved,111,USA,Alfred Hitchcock,Film-Noir,English,Twentieth Century Fox Home Entertainment,,7.6
The Best Years of Our Lives,1946,5,Approved,170,USA,William Wyler,Drama,English,RKO Radio Pictures,92.0,8.0
It's a Wonderful Life,1946,1,Not Rated,130,USA,Frank Capra,Drama,English,Liberty Films,89.0,8.6
The Razor's Edge,1946,12,Approved,145,USA,Edmund Goulding,Drama,English,Twentieth Century Fox,,7.4
The Yearling,1946,5,Approved,128,USA,Clarence Brown,Drama,English,MGM Home Entertainment,89.0,7.2
The Bishop's Wife,1947,2,Not Rated,109,USA,Henry Koster,Comedy,English,RKO Radio Pictures,,7.6
Crossfire,1947,8,Approved,86,USA,Edward Dmytryk,Crime,English,WARNER BROTHERS PICTURES,,7.3
Gentleman's Agreement,1947,3,Not Rated,118,USA,Elia Kazan,Drama,English,Twentieth Century Fox Home Entertainment,,7.2
Miracle on 34th Street,1947,10,Not Rated,96,USA,George Seaton,Comedy,English,20th Century Fox,88.0,7.9
Hamlet,1948,8,Not Rated,154,UK,Laurence Olivier,Drama,English,Universal,,7.7
Johnny Belinda,1948,9,Unrated,102,USA,Jean Negulesco,Drama,English,Warner Bros. Pictures,,7.8
The Red Shoes,1948,9,Not Rated,135,UK,"Michael Powell, Emeric Pressburger",Drama,English,Eagle-Lion Films,,8.2
The Snake Pit,1948,11,Not Rated,108,USA,Anatole Litvak,Drama,English,20th Century Fox Film Corporation,,7.6
The Treasure of the Sierra Madre,1948,1,Passed,126,USA,John Huston,Adventure,English,WARNER BROTHERS PICTURES,98.0,8.2
All the King's Men,1949,1,Approved,110,USA,Robert Rossen,Drama,English,Sony Pictures Home Entertainment,,7.5
Battleground,1949,1,Approved,118,USA,William A. Wellman,Action,English,MGM,,7.4
The Heiress,1949,12,Not Rated,115,USA,William Wyler,Drama,English,Paramount Pictures,,8.2
A Letter to Three Wives,1949,2,Not Rated,103,USA,Joseph L. Mankiewicz,Drama,English,Fox,,7.8
Twelve O'Clock High,1949,2,Not Rated,132,USA,Henry King,Drama,English,Twentieth Century Fox Home Entertainment,,7.7
All About Eve,1950,10,Passed,138,USA,Joseph L. Mankiewicz,Drama,English,20th Century Fox,98.0,8.2
Born Yesterday,1950,2,Not Rated,103,USA,George Cukor,Comedy,English,Columbia Pictures,,7.6
Father of the Bride,1950,6,Not Rated,92,USA,Vincente Minnelli,Comedy,English,MGM,,7.2
King Solomon's Mines,1950,11,Passed,103,USA,"Compton Bennett, Andrew Marton",Action,English,MGM Home Entertainment,,6.8
Sunset Blvd.,1950,9,Not Rated,110,USA,Billy Wilder,Drama,English,Paramount Pictures,,8.4
An American in Paris,1951,11,Passed,114,USA,Vincente Minnelli,Drama,English,MGM,84.0,7.2
Decision Before Dawn,1951,2,Not Rated,119,USA,Anatole Litvak,Drama,English,20th Century Fox Film Corporation,,7.3
A Place in the Sun,1951,10,Passed,122,USA,George Stevens,Drama,English,Paramount Pictures,76.0,7.8
Quo Vadis,1951,12,Not Rated,171,USA,"Mervyn LeRoy, Anthony Mann",Biography,English,MGM Home Entertainment,,7.2
A Streetcar Named Desire,1951,12,PG,122,USA,Elia Kazan,Drama,English,Warner Bros. Pictures,96.0,8.0
The Greatest Show on Earth,1952,5,Passed,152,USA,Cecil B. DeMille,Drama,English,Paramount Pictures,,6.6
High Noon,1952,7,PG,85,USA,Fred Zinnemann,Drama,English,United Artists,89.0,7.9
Ivanhoe,1952,2,Approved,106,UK,Richard Thorpe,Adventure,English,MGM Home Entertainment,,6.8
Moulin Rouge,1952,4,Not Rated,119,UK,John Huston,Biography,English,United Artists,,7.1
The Quiet Man,1952,9,Passed,129,USA,John Ford,Comedy,English,Republic Pictures,,7.8
From Here to Eternity,1953,8,Passed,118,USA,Fred Zinnemann,Drama,English,NCM Fathom,85.0,7.6
Julius Caesar,1953,6,Not Rated,120,USA,Joseph L. Mankiewicz,Biography,English,MGM Home Entertainment,,7.3
The Robe,1953,12,Unrated,135,USA,Henry Koster,Drama,English,20th Century Fox,,6.7
Roman Holiday,1953,9,Not Rated,118,USA,William Wyler,Comedy,English,Paramount Pictures,78.0,8.0
Shane,1953,10,Not Rated,118,USA,George Stevens,Drama,English,Paramount Home Video,80.0,7.6
The Caine Mutiny,1954,6,Not Rated,124,USA,Edward Dmytryk,Drama,English,Sony Pictures Home Entertainment,63.0,7.7
The Country Girl,1954,5,Unrated,104,USA,George Seaton,Drama,English,Paramount Pictures,,7.3
On the Waterfront,1954,6,Not Rated,108,USA,Elia Kazan,Crime,English,Sony Pictures,91.0,8.1
Seven Brides for Seven Brothers,1954,8,G,102,USA,Stanley Donen,Comedy,English,MGM Home Entertainment,75.0,7.4
Three Coins in the Fountain,1954,5,G,102,USA,Jean Negulesco,Drama,English,20th Century Fox Film Corporation,,6.3
Love Is a Many-Splendored Thing,1955,9,Approved,102,USA,"Henry King, Otto Lang",Biography,English,20th Century Fox Film Corporation,,6.5
Marty,1955,6,Not Rated,90,USA,Delbert Mann,Drama,English,MGM Home Entertainment,,7.7
Mister Roberts,1955,7,Not Rated,123,USA,"John Ford, Mervyn LeRoy, Joshua Logan",Comedy,English,Warner Home Video,,7.7
Pup on a Picnic,1955,4,Approved,7,USA,"Joseph Barbera, William Hanna",Animation,English,,,7.4
The Rose Tattoo,1955,12,Unrated,117,USA,Daniel Mann,Comedy,English,Paramount Pictures,,7.2
Around the World in 80 Days,1956,10,G,175,USA,"Michael Anderson, John Farrow",Adventure,English,United Artists,,6.8
Friendly Persuasion,1956,11,Passed,137,USA,William Wyler,Drama,English,Twentieth Century Fox Home Entertainment,,7.4
Giant,1956,11,G,201,USA,George Stevens,Drama,English,Warner Bros. Pictures,84.0,7.6
The King and I,1956,6,G,133,USA,Walter Lang,Biography,English,20th Century Fox,72.0,7.4
The Ten Commandments,1956,10,G,220,USA,Cecil B. DeMille,Adventure,English,Paramount Pictures,,7.8
The Bridge on the River Kwai,1957,12,PG,161,UK,David Lean,Adventure,English,Columbia Pictures,87.0,8.1
Peyton Place,1957,3,Approved,157,USA,Mark Robson,Drama,English,20th Century Fox,,7.2
Sayonara,1957,12,Not Rated,147,USA,Joshua Logan,Drama,English,MGM Home Entertainment,,7.1
12 Angry Men,1957,4,Not Rated,96,USA,Sidney Lumet,Drama,English,Criterion Collection,96.0,8.9
Witness for the Prosecution,1957,2,Not Rated,116,USA,Billy Wilder,Crime,English,MGM,,8.4
Auntie Mame,1958,12,Approved,143,USA,Morton DaCosta,Comedy,English,Warner Bros. Pictures,,7.9
Cat on a Hot Tin Roof,1958,8,Not Rated,108,USA,Richard Brooks,Drama,English,MGM Home Entertainment,80.0,8.0
The Defiant Ones,1958,9,Approved,96,USA,Stanley Kramer,Crime,English,MGM Home Entertainment,69.0,7.6
Gigi,1958,6,G,115,USA,"Vincente Minnelli, Charles Walters",Comedy,English,MGM Home Entertainment,82.0,6.7
Separate Tables,1958,2,Approved,100,USA,Delbert Mann,Drama,English,MGM Home Entertainment,,7.4
Anatomy of a Murder,1959,9,Not Rated,161,USA,Otto Preminger,Crime,English,Sony Pictures Home Entertainment,95.0,8.0
Ben-Hur,1959,1,G,212,USA,William Wyler,Adventure,English,MGM,90.0,8.1
The Diary of Anne Frank,1959,4,Approved,180,USA,George Stevens,Biography,English,Fox,59.0,7.4
The Nun's Story,1959,7,Not Rated,149,USA,Fred Zinnemann,Drama,English,Warner Home Video,,7.6
Room at the Top,1959,1,Not Rated,115,UK,Jack Clayton,Drama,English,Lion International Films,,7.7
The Alamo,1960,10,Passed,162,USA,John Wayne,Adventure,English,Batjac Productions,,6.9
The Apartment,1960,9,Not Rated,125,USA,Billy Wilder,Comedy,English,United Artists,94.0,8.3
Elmer Gantry,1960,7,Approved,146,USA,Richard Brooks,Drama,English,MGM Home Entertainment,,7.8
Sons and Lovers,1960,7,Not Rated,103,UK,Jack Cardiff,Drama,English,20th Century Fox,,7.1
The Sundowners,1960,12,Unrated,133,UK,Fred Zinnemann,Drama,English,Warner Home Video,82.0,7.1
Fanny,1961,6,Not Rated,134,USA,Joshua Logan,Drama,English,Westchester Films,,7.0
The Guns of Navarone,1961,4,TV-PG,158,UK,J. Lee Thompson,Action,English,Columbia Pictures,,7.5
The Hustler,1961,9,Not Rated,134,USA,Robert Rossen,Drama,English,Fox,90.0,8.0
Judgment at Nuremberg,1961,12,Not Rated,179,USA,Stanley Kramer,Drama,English,United Artists,60.0,8.2
West Side Story,1961,12,Not Rated,153,USA,"Jerome Robbins, Robert Wise",Crime,English,United Artists Films,86.0,7.5
Lawrence of Arabia,1962,12,Approved,228,UK,David Lean,Adventure,English,Columbia Pictures,100.0,8.3
The Longest Day,1962,10,G,178,USA,"Ken Annakin, Andrew Marton, Bernhard Wicki, Gerd Oswald, Darryl F. Zanuck",Action,English,Twentieth Century Fox Home Entertainment,75.0,7.8
Mutiny on the Bounty,1962,11,Not Rated,178,USA,"Lewis Milestone, Carol Reed",Adventure,English,WARNER BROTHERS PICTURES,,7.3
To Kill a Mockingbird,1962,3,Not Rated,129,USA,Robert Mulligan,Crime,English,Universal International Pictur,88.0,8.3
America America,1963,6,Not Rated,174,USA,Elia Kazan,Drama,English,Warner Home Video,,7.8
Cleopatra,1963,7,G,192,Switzerland,Joseph L. Mankiewicz,Biography,English,20th Century Fox,60.0,7.0
Lilies of the Field,1963,7,Unrated,94,USA,Ralph Nelson,Drama,English,Twentieth Century Fox Home Entertainment,,7.6
Tom Jones,1963,6,Not Rated,129,UK,Tony Richardson,Adventure,English,Woodfall Film Productions,77.0,6.5
Becket,1964,3,PG-13,148,UK,Peter Glenville,Biography,English,Slowhand Releasing,68.0,7.8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1,PG,95,UK,Stanley Kubrick,Comedy,English,Sony Pictures,97.0,8.4
